bit_flux_iso,bit_iso_fluxerr,bit_background,bit_thresh,bit_maxflux,bit_isoarea,bit_xworld,bit_yworld,bit_alpha,bit_delta,bit_a,bit_b
4.493098000000000057e-03,1.491722000000000013e-04,7.403880999999999527e-04,3.452665999999999987e-05,4.923145000000000516e-04,3.700000000000000000e+01,1.978432530000000042e+02,-1.466437217600000009e+00,1.978432530000000042e+02,-1.466437200000000107e+00,1.497999999999999998e+00,1.443999999999999950e+00
2.587223000000000040e-03,1.361749999999999896e-04,7.415009999999999874e-04,3.452665999999999987e-05,1.901112000000000103e-04,3.000000000000000000e+01,1.978452023399999860e+02,-1.468796637400000105e+00,1.978452023000000111e+02,-1.468796599999999897e+00,1.818000000000000060e+00,1.262999999999999901e+00
4.230231999999999742e-02,4.427557999999999733e-04,7.441976999999999577e-04,3.452665999999999987e-05,4.609265999999999992e-04,3.300000000000000000e+02,1.978518662699999879e+02,-1.474977662599999961e+00,1.978518663000000117e+02,-1.474977699999999947e+00,4.907000000000000028e+00,3.758000000000000007e+00
7.789494000000000105e-03,1.797745999999999914e-04,7.336073000000000463e-04,3.452665999999999987e-05,6.074220999999999657e-04,5.200000000000000000e+01,1.978271258599999953e+02,-1.440497528599999910e+00,1.978271258999999986e+02,-1.440497499999999986e+00,1.814999999999999947e+00,1.683999999999999941e+00
1.106004999999999966e-03,1.029385999999999973e-04,7.362138999999999749e-04,3.452665999999999987e-05,1.079375999999999947e-04,1.400000000000000000e+01,1.978383186599999988e+02,-1.457723529399999940e+00,1.978383187000000021e+02,-1.457723499999999950e+00,1.725999999999999979e+00,8.890000000000000124e-01
5.678093999999999850e-04,6.905333000000000044e-05,7.421990000000000271e-04,3.452665999999999987e-05,9.721825999999999439e-05,7.000000000000000000e+00,1.978462657100000115e+02,-1.469809086099999940e+00,1.978462657000000036e+02,-1.469809099999999980e+00,1.084000000000000075e+00,6.440000000000000169e-01
1.852850999999999977e-03,1.281575999999999874e-04,7.410118999999999517e-04,3.452665999999999987e-05,1.236681999999999961e-04,2.300000000000000000e+01,1.978456488200000081e+02,-1.468127465800000087e+00,1.978456487999999922e+02,-1.468127500000000030e+00,1.709000000000000075e+00,1.264000000000000012e+00
4.534760000000000180e-02,4.952834999999999616e-04,7.358452000000000135e-04,3.452665999999999987e-05,2.820523000000000236e-04,4.190000000000000000e+02,1.978354868899999985e+02,-1.445263959700000100e+00,1.978354869000000065e+02,-1.445264000000000104e+00,1.234699999999999953e+01,2.738999999999999879e+00
1.438587999999999976e-03,1.054806999999999945e-04,7.363686000000000363e-04,3.452665999999999987e-05,1.275151000000000084e-04,1.900000000000000000e+01,1.978387632099999962e+02,-1.457967930299999937e+00,1.978387631999999883e+02,-1.457967900000000094e+00,1.260000000000000009e+00,1.171999999999999931e+00
1.397542000000000098e-03,1.103894000000000039e-04,7.352756999999999913e-04,3.452665999999999987e-05,1.571621000000000042e-04,1.700000000000000000e+01,1.978324394299999938e+02,-1.448362238100000088e+00,1.978324393999999984e+02,-1.448362200000000044e+00,1.379999999999999893e+00,1.145000000000000018e+00
4.168400000000000057e-03,2.146954999999999979e-04,7.345388999999999478e-04,3.452665999999999987e-05,9.698974000000000018e-05,3.300000000000000000e+01,1.978309569300000135e+02,-1.444258815800000040e+00,1.978309568999999897e+02,-1.444258800000000065e+00,2.509999999999999787e+00,1.497999999999999998e+00
3.157615999999999895e-02,4.072260000000000072e-04,7.358023000000000211e-04,3.452665999999999987e-05,3.118773000000000031e-04,2.910000000000000000e+02,1.978347386099999881e+02,-1.445445246700000075e+00,1.978347386000000085e+02,-1.445445199999999986e+00,8.897999999999999687e+00,2.638999999999999790e+00
1.184209000000000086e-03,1.127636000000000057e-04,7.352622000000000498e-04,3.452665999999999987e-05,9.602093000000000292e-05,2.100000000000000000e+01,1.978334871899999996e+02,-1.449114493800000014e+00,1.978334872000000075e+02,-1.449114500000000083e+00,2.008999999999999897e+00,1.276999999999999913e+00
6.971797999999999754e-04,8.299177000000000518e-05,7.339926000000000306e-04,3.452665999999999987e-05,8.206482999999999606e-05,1.200000000000000000e+01,1.978295741999999962e+02,-1.443395974299999995e+00,1.978295741999999962e+02,-1.443395999999999901e+00,1.381000000000000005e+00,9.090000000000000302e-01
3.621865000000000262e-04,6.510409999999999895e-05,7.429847999999999748e-04,3.452665999999999987e-05,7.791938999999999734e-05,4.000000000000000000e+00,1.978481799799999976e+02,-1.471690192000000064e+00,1.978481800000000135e+02,-1.471690200000000059e+00,1.018000000000000016e+00,5.939999999999999725e-01
5.685881000000000051e-04,7.634133000000000249e-05,7.339971000000000472e-04,3.452665999999999987e-05,7.871614000000000627e-05,1.000000000000000000e+01,1.978296339199999920e+02,-1.443171578899999918e+00,1.978296339000000046e+02,-1.443171600000000110e+00,1.048999999999999932e+00,8.309999999999999609e-01
3.094983000000000044e-04,5.638180999999999678e-05,7.359700999999999960e-04,3.452665999999999987e-05,5.789223000000000323e-05,6.000000000000000000e+00,1.978381439499999885e+02,-1.455918988300000105e+00,1.978381439999999998e+02,-1.455918999999999963e+00,9.389999999999999458e-01,4.680000000000000271e-01
1.178816000000000065e-03,9.765615999999999913e-05,7.352699999999999991e-04,3.452665999999999987e-05,1.561668000000000106e-04,1.700000000000000000e+01,1.978335652700000082e+02,-1.448485944600000019e+00,1.978335653000000036e+02,-1.448485900000000104e+00,1.284000000000000030e+00,1.112000000000000099e+00
3.234736999999999790e-04,5.146930999999999934e-05,7.360284999999999614e-04,3.452665999999999987e-05,7.742171999999999910e-05,5.000000000000000000e+00,1.978382596300000102e+02,-1.456050590000000033e+00,1.978382595999999864e+02,-1.456050599999999973e+00,7.580000000000000071e-01,4.500000000000000111e-01
2.823796000000000162e-04,5.146930999999999934e-05,7.356532000000000262e-04,3.452665999999999987e-05,7.529574000000000087e-05,5.000000000000000000e+00,1.978375804899999935e+02,-1.454872815000000097e+00,1.978375805000000014e+02,-1.454872799999999966e+00,7.610000000000000098e-01,4.460000000000000075e-01
7.863583000000000161e-04,8.612462999999999402e-05,7.338067999999999891e-04,3.452665999999999987e-05,8.720788000000000097e-05,1.300000000000000000e+01,1.978291250100000127e+02,-1.441286841399999963e+00,1.978291250000000048e+02,-1.441286800000000090e+00,1.131999999999999895e+00,9.589999999999999636e-01
2.363861000000000033e-04,5.146930999999999934e-05,7.366793999999999860e-04,3.452665999999999987e-05,5.825858999999999747e-05,4.000000000000000000e+00,1.978399788099999910e+02,-1.457735183700000103e+00,1.978399788000000115e+02,-1.457735199999999898e+00,1.078000000000000069e+00,3.170000000000000040e-01
3.727048000000000166e-04,6.089931000000000223e-05,7.435986000000000332e-04,3.452665999999999987e-05,8.679199000000000451e-05,6.000000000000000000e+00,1.978505805499999894e+02,-1.473524174000000020e+00,1.978505805000000066e+02,-1.473524199999999951e+00,7.520000000000000018e-01,6.780000000000000471e-01
8.460546000000000429e-04,9.207110000000000012e-05,7.331075000000000482e-04,3.452665999999999987e-05,1.002619000000000031e-04,1.500000000000000000e+01,1.978267543599999954e+02,-1.436537996700000042e+00,1.978267543999999987e+02,-1.436538000000000093e+00,1.389000000000000012e+00,1.012000000000000011e+00
7.120619999999999597e-04,8.299177000000000518e-05,7.352562999999999894e-04,3.452665999999999987e-05,7.139554000000000050e-05,1.300000000000000000e+01,1.978356135800000004e+02,-1.449739660299999899e+00,1.978356135999999879e+02,-1.449739700000000076e+00,1.052000000000000046e+00,8.790000000000000036e-01
